Date,open,high,low,close,tick_volume
2019-06-26 09:00:00,136131.0,136202.0,136118.0,136156.0,2062
2019-06-26 09:15:00,136157.0,136161.0,135986.0,136000.0,1385
2019-06-26 09:30:00,136000.0,136120.0,135996.0,136103.0,1640
2019-06-26 09:45:00,136102.0,136165.0,136080.0,136120.0,2311
2019-06-26 10:00:00,136120.0,136214.0,136007.0,136161.0,2643
2019-06-26 10:15:00,136162.0,136200.0,136092.0,136194.0,2687
2019-06-26 10:30:00,136194.0,136196.0,136045.0,136046.0,2527
2019-06-26 10:45:00,136045.0,136191.0,136033.0,136165.0,1458
2019-06-26 11:00:00,136165.0,136235.0,136096.0,136210.0,2072
2019-06-26 11:15:00,136207.0,136278.0,136193.0,136206.0,1593
2019-06-26 11:30:00,136207.0,136219.0,136148.0,136216.0,1693
2019-06-26 11:45:00,136216.0,136228.0,136121.0,136142.0,1364
2019-06-26 12:00:00,136146.0,136608.0,136138.0,136603.0,3499
2019-06-26 12:15:00,136604.0,136633.0,136451.0,136529.0,3258
2019-06-26 12:30:00,136529.0,136566.0,136427.0,136508.0,2884
2019-06-26 12:45:00,136508.0,136633.0,136476.0,136567.0,2176
2019-06-26 13:00:00,136568.0,136748.0,136551.0,136716.0,2204
2019-06-26 13:15:00,136717.0,136819.0,136694.0,136774.0,2200
2019-06-26 13:30:00,136775.0,136807.0,136697.0,136712.0,2141
2019-06-26 13:45:00,136712.0,136726.0,136625.0,136635.0,1886
2019-06-26 14:00:00,136635.0,136683.0,136571.0,136646.0,2211
2019-06-26 14:15:00,136646.0,136655.0,136557.0,136606.0,2402
2019-06-26 14:30:00,136607.0,136646.0,136588.0,136597.0,2193
2019-06-26 14:45:00,136597.0,136623.0,136547.0,136617.0,1867
2019-06-26 15:00:00,136618.0,136627.0,136549.0,136587.0,1726
2019-06-26 15:15:00,136587.0,136612.0,136537.0,136571.0,2188
2019-06-26 15:30:00,136579.0,136601.0,136474.0,136482.0,2905
2019-06-26 15:45:00,136482.0,136499.0,136334.0,136372.0,2854
2019-06-26 16:00:00,136372.0,136402.0,136324.0,136398.0,2517
2019-06-26 16:15:00,136398.0,136453.0,136353.0,136425.0,2312
2019-06-26 16:30:00,136426.0,136509.0,136370.0,136496.0,2731
2019-06-26 16:45:00,136496.0,136540.0,136467.0,136524.0,2947
2019-06-26 17:00:00,136526.0,136661.0,136514.0,136605.0,2657
2019-06-26 17:15:00,136604.0,136626.0,136532.0,136542.0,1887
2019-06-26 17:30:00,136544.0,136592.0,136481.0,136540.0,2051
2019-06-26 17:45:00,136540.0,136603.0,136410.0,136450.0,3403
2019-06-26 18:00:00,136450.0,136488.0,136401.0,136434.0,2558
2019-06-26 18:15:00,136435.0,136557.0,136428.0,136557.0,1793
2019-06-26 18:30:00,136557.0,136666.0,136515.0,136615.0,2264
2019-06-26 18:45:00,136614.0,136642.0,136583.0,136640.0,2371
2019-06-26 19:00:00,136642.0,136693.0,136618.0,136659.0,2000
2019-06-26 19:15:00,136661.0,136731.0,136645.0,136668.0,1878
2019-06-26 19:30:00,136668.0,136711.0,136644.0,136655.0,1801
2019-06-26 19:45:00,136657.0,136695.0,136633.0,136695.0,1457
2019-06-26 20:00:00,136697.0,136717.0,136661.0,136717.0,2156
2019-06-26 20:15:00,136717.0,136756.0,136684.0,136699.0,1767
2019-06-26 20:30:00,136700.0,136706.0,136603.0,136638.0,1779
2019-06-26 20:45:00,136638.0,136763.0,136635.0,136755.0,1158
2019-06-26 21:00:00,136755.0,136852.0,136741.0,136808.0,1595
2019-06-26 21:15:00,136808.0,136825.0,136775.0,136823.0,1072
2019-06-26 21:30:00,136822.0,136876.0,136821.0,136859.0,1252
2019-06-26 21:45:00,136859.0,136876.0,136787.0,136794.0,1662
2019-06-26 22:00:00,136794.0,136831.0,136776.0,136800.0,2230
2019-06-26 22:15:00,136799.0,136818.0,136762.0,136811.0,1717
2019-06-26 22:30:00,136811.0,136823.0,136788.0,136792.0,1472
2019-06-26 22:45:00,136794.0,136822.0,136778.0,136786.0,1845
2019-06-26 23:00:00,136787.0,136787.0,136729.0,136751.0,840
2019-06-26 23:15:00,136752.0,136767.0,136715.0,136727.0,719
2019-06-26 23:30:00,136728.0,136733.0,136695.0,136726.0,531
2019-06-26 23:45:00,136727.0,136750.0,136694.0,136719.0,798
2019-06-27 00:00:00,136705.0,136739.0,136586.0,136663.0,2582
2019-06-27 00:15:00,136661.0,136747.0,136649.0,136689.0,2950
