pair,hour,hold,side,dow,n_tr,mean_tr,t_tr,n_te,mean_te,t_te,n,mean
GBPUSD,5,1,-1,,1522,0.7653088042049404,3.5074479046220164,822,0.4885644768856418,1.3874611813723874,2344,0.6682593856654936
GBPUSD,6,1,1,,1532,0.25698433420364186,0.9643461087692535,810,-0.09074074074072098,-0.34123954100359244,2342,0.1367207514944472
GBPUSD,6,1,-1,,1532,-0.6569843342036418,-2.465365401260565,810,-0.3092592592592787,-1.1630000683186923,2342,-0.5367207514944471
GBPUSD,7,1,1,,1580,0.758164556962032,3.3621689007020485,821,1.538367844092594,2.932241716794028,2401,1.0249479383590299
GBPUSD,7,1,-1,,1580,-1.1581645569620318,-5.136015419813557,821,-1.938367844092594,-3.6946709961251,2401,-1.4249479383590296
GBPUSD,8,1,1,,1580,-0.2831645569620697,-0.8293537570460413,821,1.3851400730816719,4.317837136189183,2401,0.2872969596001593
GBPUSD,8,1,-1,,1580,-0.1168354430379302,-0.3421964764206905,821,-1.785140073081672,-5.5647398054861075,2401,-0.6872969596001592
GBPUSD,9,1,1,,1580,0.30892405063287426,1.2915896402098075,821,-1.3161997563946182,-3.5085218875447706,2401,-0.2467721782590755
GBPUSD,9,1,-1,,1580,-0.7089240506328742,-2.963961393155303,821,0.9161997563946183,2.44226370887577,2401,-0.15322782174092445
GBPUSD,10,1,1,,1579,-0.11513616212793407,-0.44858847217634057,821,0.6109622411692852,1.7220433538184459,2400,0.1332499999999897
GBPUSD,10,1,-1,,1579,-0.2848638378720659,-1.1098740087178527,821,-1.0109622411692851,-2.849473651653367,2400,-0.5332499999999897
GBPUSD,11,1,1,,1579,-0.01177960734639084,-0.021084133867237908,821,0.113520097442118,0.3890426906650179,2400,0.031083333333344888
GBPUSD,11,1,-1,,1579,-0.38822039265360897,-0.6948695731533232,821,-0.5135200974421179,-1.7598755191459279,2400,-0.43108333333334464
GBPUSD,12,1,1,,1580,0.07803797468355453,0.4276366085344747,821,-0.504750304506686,-2.1388914060617923,2401,-0.12124114952102166
GBPUSD,12,1,-1,,1580,-0.4780379746835543,-2.6195777001301956,821,0.10475030450668611,0.4438819037676063,2401,-0.27875885047897814
GBPUSD,13,1,1,,1583,-0.4779532533164892,-2.4469389579240124,824,-0.4007281553398946,-1.7220104880176481,2407,-0.4515164104694955
GBPUSD,13,1,-1,,1583,0.07795325331648935,0.39909102221494663,824,0.0007281553398946706,0.0031290317775179467,2407,0.05151641046949558
GBPUSD,14,1,1,,1583,-0.040555906506678105,-0.1312598031535008,824,0.49611650485440256,1.7155894387431325,2407,0.143165766514315
