entry,exit,n,mean,win,n_tr,m_tr,t_tr,n_te,m_te,t_te
03:00,10:15,1915,1.0314882506527432,54.7780678851175,1259,1.8791104050834113,2.2117268913826202,656,-0.5952743902439186,-0.6813589280823613
03:00,10:30,1915,0.9792689295039144,54.09921671018276,1259,1.8990865766481337,2.2607394991627023,656,-0.7860518292682991,-0.8585934681168459
03:00,10:45,1915,1.051366405570052,54.25587467362924,1259,2.1688575589091865,2.543256962228352,656,-1.0933307926829512,-1.177692253899428
03:00,11:00,1915,1.1392341166231446,54.62140992167102,1259,2.0403163886682676,2.267696427442794,656,-0.5901295731707726,-0.6386206387901018
03:00,11:15,1915,0.6523455178415941,53.99477806788512,1259,1.4329759068043475,1.5051512493161885,656,-0.8458460365853985,-0.9003026799467706
03:00,11:30,1916,0.6421972860125321,55.16701461377871,1260,1.4202777777777953,1.4011312140206122,656,-0.8522865853658682,-0.9021626437338903
03:00,11:45,1915,0.5040557006092197,55.35248041775457,1259,0.9796399258670917,0.7944902038104023,656,-0.40868902439026367,-0.4247465416509884
03:30,08:00,1915,0.5203916449086146,51.018276762402095,1260,1.2457142857142809,2.228004254240956,655,-0.8748854961832009,-1.172217176434625
03:30,08:15,1915,1.0612880765883395,53.26370757180157,1260,1.7070568783068716,3.046078685645453,655,-0.1809541984732641,-0.2572326704598538
03:30,08:30,1915,1.2601174934726025,54.46475195822455,1260,1.8508333333333433,3.13096889361308,655,0.12377862595423135,0.18570488324705756
03:30,08:45,1915,1.615395996518707,54.56919060052219,1260,2.25837962962961,3.715492494115953,655,0.378511450381703,0.5584397887386416
03:30,09:00,1915,1.2291601392515334,54.36031331592689,1260,1.7224735449735449,2.7094917595150876,655,0.2801908396946883,0.38989210606200325
03:30,09:15,1914,1.3410135841170268,55.956112852664575,1259,1.8993447180301708,2.9139487256981416,655,0.2678244274809241,0.380969584354501
03:30,09:30,1914,1.2003265412748083,55.851619644723094,1259,1.8378673550436682,2.78304741824529,655,-0.025114503816785372,-0.03494870321638454
03:30,09:45,1914,1.541597004528038,55.01567398119123,1259,2.1220743976700964,3.0548599477854284,655,0.42583969465650895,0.5599579204329118
03:30,10:00,1914,1.2613679902472965,54.96342737722048,1259,1.9441885093989733,2.6604276477214843,655,-0.05110687022897912,-0.06445264152395316
03:30,10:15,1914,0.7066657958899393,54.4932079414838,1259,1.4720677786603105,1.8233204052461263,655,-0.7645419847328047,-0.922611945183895
03:30,10:30,1914,0.6528256704980857,53.970741901776385,1259,1.492043950225033,1.8661483319592416,655,-0.9602671755724893,-1.1000851840865555
03:30,10:45,1914,0.7255094043887097,53.60501567398119,1259,1.7618149324860863,2.1774824677721942,655,-1.266412213740446,-1.4338466138545314
03:30,11:00,1914,0.8162965865552045,53.60501567398119,1259,1.633273762245167,1.9032549390931588,655,-0.7540458015267224,-0.8584881828195247
03:30,11:15,1914,0.32797805642632877,53.552769070010456,1259,1.0259332803812475,1.12525101816627,655,-1.013587786259538,-1.1252822881436841
03:30,11:30,1915,0.32008268059182865,54.46475195822455,1260,1.012030423280427,1.0388898928445278,655,-1.010992366412193,-1.1123550872963253
03:30,11:45,1914,0.18140020898641443,54.075235109717866,1259,0.5725972994439917,0.47872143753777424,655,-0.5705343511450214,-0.618776814979976
04:00,08:00,1915,0.48455178416013084,49.92167101827676,1260,0.9687235449735396,1.7972815581105366,655,-0.4468320610687161,-0.6101686311935755
04:00,08:15,1915,1.0254482158398557,53.26370757180157,1260,1.4300661375661299,2.6519471336024103,655,0.24709923664122105,0.3607532706330542
04:00,08:30,1915,1.2242776327241185,53.99477806788512,1260,1.573842592592602,2.76491657959174,655,0.5518320610687163,0.8527325889137731
04:00,08:45,1915,1.5795561357702228,54.46475195822455,1260,1.9813888888888684,3.3629912577818786,655,0.806564885496188,1.2110262184482854
04:00,09:00,1915,1.1933202785030497,54.04699738903395,1260,1.4454828042328032,2.3367626285239504,655,0.7082442748091731,1.0068288966683934
04:00,09:15,1914,1.3108760013932304,55.067920585161964,1259,1.6308313476303815,2.556093592774139,655,0.6958778625954088,1.020812561808134
04:00,09:30,1914,1.1701889585510117,54.12748171368861,1259,1.569353984643879,2.428200880707546,655,0.40293893129769903,0.5766209162208038
04:00,09:45,1914,1.5114594218042412,54.96342737722048,1259,1.8535610272703074,2.721445748528534,655,0.8538931297709939,1.1498227754186714
04:00,10:00,1914,1.2312304075235,54.59770114942529,1259,1.6756751389991846,2.3369368441952347,655,0.37694656488550604,0.48559386558933504
04:00,10:15,1914,0.6765282131661428,54.80668756530825,1259,1.2035544082605216,1.504770472139886,655,-0.3364885496183201,-0.4140130238925141
04:00,10:30,1914,0.6226880877742893,52.87356321839081,1259,1.2235305798252443,1.5392275323098095,655,-0.5322137404580047,-0.6218844613592569
