date,yen,n,win,cum
2019-05,16629.99999999909,23,15,1133389.999999994
2019-06,18089.999999998945,20,13,1151479.9999999928
2019-07,43080.00000000161,23,18,1194559.9999999944
2019-08,-16379.999999999323,22,12,1178179.999999995
2019-09,31619.999999999414,21,14,1209799.9999999944
2019-10,-12129.999999999922,22,10,1197669.9999999944
2019-11,-300.0000000001969,17,10,1197369.9999999942
2019-12,24180.000000000964,15,5,1221549.999999995
2020-01,-21120.000000000276,17,11,1200429.9999999949
2020-02,-5800.000000000122,16,5,1194629.9999999946
2020-03,26020.00000000021,18,12,1220649.9999999949
2020-04,60109.99999999827,22,15,1280759.9999999932
2020-05,70389.99999999993,21,17,1351149.9999999932
2020-06,76610.00000000003,22,15,1427759.9999999932
2020-07,55470.000000000655,23,20,1483229.999999994
2020-08,54220.00000000032,21,16,1537449.9999999942
2020-09,24849.999999998738,22,16,1562299.999999993
2020-10,18870.00000000021,21,12,1581169.9999999932
2020-11,8620.000000000091,16,9,1589789.9999999932
2020-12,-9489.999999999924,18,7,1580299.9999999932
2021-01,9409.999999999316,16,10,1589709.9999999925
2021-02,21949.99999999965,16,13,1611659.999999992
2021-03,34480.000000000655,19,14,1646139.9999999928
2021-04,39639.999999999294,22,17,1685779.999999992
2021-05,56450.00000000017,21,20,1742229.9999999923
2021-06,69709.99999999991,22,20,1811939.9999999923
2021-07,51659.99999999971,22,18,1863599.999999992
2021-08,53620.00000000068,22,22,1917219.9999999928
2021-09,47330.000000000626,22,21,1964549.9999999935
2021-10,66409.9999999994,21,18,2030959.9999999928
2021-11,22650.000000001244,17,12,2053609.999999994
2021-12,6659.999999999411,19,9,2060269.9999999932
2022-01,21369.99999999958,16,13,2081639.9999999928
2022-02,-24489.99999999941,16,8,2057149.9999999935
2022-03,8280.000000000135,4,3,2065429.9999999937
