pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
GBPJPY,20,1,2411,-0.1332227291580185,-0.27978543050289656,1587,-0.3313178328665939,824,0.013901987154529697,49.89630858564911
GBPJPY,21,1,2412,-0.40422885572141726,-0.8153710571572662,1588,-1.146070331394277,824,0.3699412468741506,49.04643449419569
GBPJPY,22,1,2410,0.10609958506222181,0.19356002880173387,1587,1.5857356671637304,823,-2.517119969833882,49.95850622406639
GBPJPY,23,1,2411,0.49825798423893425,0.9312135833738658,1588,1.0989517994224507,823,0.050884483200975904,51.09912899211946
GBPJPY,0,2,2412,-1.3094941956882913,-2.0170850978827497,1587,-2.0313277512626486,825,-0.5252624759655609,47.636815920398014
GBPJPY,1,2,2412,-1.0782338308458153,-2.0288167041011613,1587,-1.8136053437807684,825,-0.9145546120374253,47.636815920398014
GBPJPY,2,2,2409,-0.7406807804067843,-1.5500570072050737,1584,-2.260288140342386,825,0.7892871231842958,47.77916147779162
GBPJPY,3,2,2405,-1.1653222453222332,-2.5315790506739746,1580,-2.847924650299847,825,-0.19495599366283156,48.731808731808734
GBPJPY,4,2,2399,-0.4250937890787969,-0.990383377629879,1578,-1.6451801915637332,821,0.8005342540214653,49.97915798249271
GBPJPY,5,2,2342,0.9939795046968908,2.1084234486751385,1520,-0.5594741314177957,822,5.826718862701552,54.397950469684034
GBPJPY,6,2,2342,-2.8776259607172907,-5.868010033324681,1533,-5.099467092573314,809,-3.0831857914414535,40.435525192143466
GBPJPY,7,2,2401,-2.9233236151603657,-5.238337311315332,1580,-1.571062807577542,821,-7.806688962163589,41.1911703456893
GBPJPY,8,2,2400,-0.5350000000000373,-0.9666581581408156,1579,0.04284794923331728,821,-2.28573399896571,45.916666666666664
GBPJPY,9,2,2400,0.5145416666666722,0.913940817808217,1579,0.07178731174734276,821,1.8093040681746213,50.0
GBPJPY,10,2,2399,0.8935806586077657,1.1262141087503044,1578,1.0948927763314298,821,0.27188476692688807,49.81242184243435
GBPJPY,11,2,2401,0.48546438983754053,0.6214538976309292,1580,0.8084273877058251,821,-0.7096895912166469,48.85464389837568
GBPJPY,12,2,2401,0.4334027488546431,0.925398496589198,1580,0.7558539535115893,821,0.620355009762758,48.0216576426489
GBPJPY,13,2,2407,-0.012505193186530957,-0.02655075477209954,1583,0.10035008317492734,824,-0.30741397366037776,49.14831740756128
GBPJPY,14,2,2407,-0.5314914831740919,-0.9919537154624816,1583,-0.31768972979983906,824,-1.708224070256025,47.90195263813876
GBPJPY,15,2,2409,-0.09124117891241267,-0.1379951726503668,1585,-0.2241096864096228,824,0.12890622069197255,49.31506849315068
GBPJPY,16,2,2411,0.5877644131066208,0.7323244110671914,1587,0.4166447786722062,824,0.7834536758012073,50.145167980091244
GBPJPY,17,2,2411,0.00041476565738133415,0.0005497632961974493,1587,0.6282070102046544,824,-1.1691714577851704,50.974699294898386
GBPJPY,18,2,2411,-1.0395686437162883,-1.5555929675871782,1587,-0.901517053621232,824,-1.59412785384893,48.73496474491912
GBPJPY,19,2,2411,-0.4905018664454606,-0.758622885689114,1587,-0.7749684514554599,824,-0.17689779328621077,49.440066362505185
GBPJPY,20,2,2411,-0.35653255910412196,-0.5238467135588628,1587,-0.8742865920929043,824,0.44861145464849395,49.19120696806304
GBPJPY,21,2,2412,-0.10406301824213393,-0.1381574466834984,1588,0.593361088957383,824,-1.3649708793537403,49.08789386401327
GBPJPY,22,2,2410,0.8130705394190664,1.0897611400208964,1587,2.1734354191347,823,-1.347812149956382,51.65975103734441
GBPJPY,23,2,2411,0.1478224802986955,0.2012694936112089,1588,0.17895747176532983,823,0.09334601441845425,47.82248029863128
GBPJPY,0,3,2412,-1.456094527363236,-1.9618046779301892,1587,-1.9548311212141438,825,-0.5385823995921435,46.93200663349917
GBPJPY,1,3,2412,-1.4944444444444358,-2.3964199063401046,1587,-2.9416200715712923,825,0.15287474946221588,48.507462686567166
GBPJPY,2,3,2409,-1.294562058945622,-2.265642170302664,1584,-2.4496865560189294,825,-0.26532289311788537,47.40556247405562
GBPJPY,3,3,2405,-0.8666112266112258,-1.6292798272808782,1580,-2.849458625096094,825,1.5287880840293828,49.68814968814969
GBPJPY,4,3,2399,0.056815339724915585,0.10131069851551917,1578,-1.8079099303229897,821,4.002086992016014,51.52146727803252
GBPJPY,5,3,2341,-0.39278086287904773,-0.6796623983966469,1520,-1.6537731205179798,821,0.9954242632238584,46.86031610422896
GBPJPY,6,3,2342,-3.523825789923153,-5.983096229987108,1533,-3.5610010359538995,809,-5.620387486670777,39.2399658411614
GBPJPY,7,3,2401,-2.711037067888404,-4.132125678062804,1580,-1.3916837284345498,821,-6.1185704649727395,42.440649729279464
GBPJPY,8,3,2400,-0.04316666666667961,-0.06084153707594377,1579,0.35223655372480106,821,-0.8834006743485523,47.791666666666664
GBPJPY,9,3,2400,1.1060000000000068,1.2520364552322094,1579,0.9368211820035873,821,1.1213304274270859,49.541666666666664
GBPJPY,10,3,2399,0.9735306377657416,1.0458454187764177,1578,0.9176730263775783,821,0.5816987901079919,49.68736973739058
GBPJPY,11,3,2401,1.0353186172427962,1.2378421894476797,1580,1.3355004783720437,821,-0.22178891277600407,49.18783840066639
GBPJPY,12,3,2401,0.07480216576426518,0.13270958917193768,1580,0.059150183078198616,821,0.20584214592427738,48.52144939608497
GBPJPY,13,3,2407,0.011425010386371944,0.018422291224197248,1583,0.5354510888468879,824,-1.1645839719232067,49.60531782301621
