pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
EURJPY,11,6,2401,0.28432245868466777,0.41376317145139035,1580,0.16653199518521783,821,0.7043754953026136,49.85422740524781
EURJPY,12,6,2402,0.5526585079508485,0.7286628674706496,1581,0.6722117914464123,821,0.2811049208257896,50.0
EURJPY,13,6,2407,0.9724650187279748,1.229091572112001,1583,1.087908490406071,824,0.5774376145980318,50.39468217698379
EURJPY,14,6,2407,0.5229012463972359,0.6581115164345376,1583,0.559847048768033,824,0.3548546631439246,49.93768176152887
EURJPY,15,6,2409,1.4799411895683414,1.7966930192151511,1585,1.6162189034467644,824,0.7844336275652727,51.515151515151516
EURJPY,16,6,2411,1.2431494613282041,1.4739108248367472,1587,1.4058928410394256,824,0.4851429599940546,51.4309415180423
EURJPY,17,6,2411,1.397774098408276,1.58242707154683,1587,1.9822709711121744,824,-0.39969634868812115,51.347988386561596
EURJPY,18,6,2411,1.5565463920623546,1.7713665133799787,1587,1.6210451475724243,824,0.7257734494368098,51.59684778100373
EURJPY,19,6,2411,0.9244020536135359,1.0417196151463768,1587,0.7402374685461842,824,0.8353888890591101,50.06221484861053
EURJPY,20,6,2411,0.1199225845136364,0.13656279110468797,1587,-0.15073748905823056,824,0.5777756105266229,50.39402737453339
EURJPY,21,6,2412,-0.6740212006391704,-0.7799251580579986,1588,-0.773823774256229,824,-0.2030804900080471,48.59038142620232
EURJPY,22,6,2410,-0.6213253782297972,-0.7713729700447013,1587,-1.0474081498900225,823,0.3166663048734864,50.04149377593361
EURJPY,23,6,2411,-0.9997373076473327,-1.349688814256548,1588,-1.9168760279478962,823,0.759600439432974,48.154292824554126
EURJPY,0,8,2411,-2.1836259636320405,-3.002490932670173,1587,-3.589535630940162,824,0.49052003033501906,46.329323931978436
EURJPY,1,8,2411,-2.2477902108323944,-3.352726760307826,1587,-2.9961074819540454,824,-1.5071769431796729,46.82704272086271
EURJPY,2,8,2407,-1.2812362276260219,-1.9612772189236838,1583,-1.901969853966604,824,-0.5861750867676514,46.61404237640216
EURJPY,3,8,2404,-0.8639956951248197,-1.304197428937322,1580,-1.7559790588125528,824,0.5534894984715724,46.17304492512479
EURJPY,4,8,2399,-0.38493639143544456,-0.5211205812226065,1578,-0.5340787648555666,821,-0.08348225756010666,47.89495623176324
EURJPY,5,8,2341,0.323341851367937,0.4000582713090737,1520,0.08069647527604941,821,0.8191672818473067,48.44083724903887
EURJPY,6,8,2340,-0.37835900698395547,-0.4763401111261745,1531,0.23578533313126118,809,-1.7338831191955641,47.43589743589743
EURJPY,7,8,2400,-0.4658996052745266,-0.5936352908205127,1579,0.43435963270513106,821,-2.4717260196333033,46.58333333333333
EURJPY,8,8,2400,0.9961420613921157,1.2298925969255003,1579,1.1531689251548907,821,0.42804672621199297,50.583333333333336
EURJPY,9,8,2401,0.731713576732963,0.8918806644578977,1580,0.19846270149387463,821,1.8001560734678383,50.64556434818825
EURJPY,10,8,2400,1.0292253947254366,1.1993102655488703,1579,1.0812494373969928,821,0.520926152585637,49.875
EURJPY,11,8,2401,1.4852745929762292,1.6959676319627008,1580,1.6030000724993227,821,0.566657688323875,50.77051228654727
EURJPY,12,8,2402,1.2769557236180513,1.4617100651972474,1581,1.221154457034974,821,0.8500804324388969,51.12406328059949
EURJPY,13,8,2407,1.77377000419782,1.9784422059459086,1583,1.6271260125113005,824,1.1886412302100298,51.6825924387204
EURJPY,14,8,2407,0.9097899460341605,0.9775351515641159,1583,0.8117375207701621,824,0.5657681875352165,51.26713751557956
EURJPY,15,8,2409,1.017547156867425,1.020726640936073,1585,1.288314492585712,824,-0.29900723173429067,50.80946450809465
EURJPY,16,8,2411,1.8782985490182802,1.8179669583686802,1587,1.8225976135892195,824,0.4457143693930194,51.347988386561596
